Case,CaseName,DeltaDRI,PValue
0.1,Uppsala Speaks_Control,-0.1218629616931457,0.4032
1.0,Uppsala Speaks_Group Briefing,0.18928088982804825,0.2337
2.0,Uppsala Speaks_Group Building Plus,0.2361600725222619,0.1756
3.0,FNQCJ,0.5616320663142462,0.0376
4.0,ACP,-0.12561946270473778,0.4328
5.0,Sydney CC,0.07578833254788164,0.5509
6.0,Forest ERA_Citizens,0.13352591947762948,0.4067
7.0,Forest ERA_Stakeholders,0.07658167749933043,0.6337
8.0,Biobanking_UBC,0.09602442657216281,0.4423
9.0,Biobanking_Mayo,0.05981656602346397,0.7072
10.0,Biobanking_WA_Citizens,0.29795529392820064,0.0853
11.0,Biobanking_WA_Stakeholders,-0.06636350415115211,0.6926
12.0,Fremantle Bridge,0.12716517112177295,0.337
13.0,CCPS,0.08799929962547415,0.6487
14.0,Energy Futures_WA,0.23503209543265013,0.0728
15.0,Energy Futures_NSW,0.2239382452944354,0.0974
16.0,Energy Futures_Vic,0.33295132733759925,0.02
17.0,Valsamoggia,-0.05358830840120077,0.8077
18.0,GBR Futures,0.11941233272569352,0.5992
0.19,AusCJ_Control,0.020184994025372438,0.8481
19.0,AusCJ,0.1387074663225789,0.223
